;pays;note;poste;légende;numéro
zidane;FRA;93;milieu;oui;1/13
platini;FRA;92;milieu;oui;2/13
mbappe;FRA;89;attaquant;non;3/13
griezmann;FRA;88;attaquant;non;4/13
benzema;FRA;88;attaquant;non;5/13
pogba;FRA;88;milieu;non;6/13
kante;FRA;88;milieu;non;7/13
varane;FRA;86;defenseur;non;8/13
dembele;FRA;85;attaquant;non;9/13
maignan;FRA;85;gardien;non;10/13
saliba;FRA;84;defenseur;non;11/13
cherki;FRA;81;milieu;non;12/13
doue;FRA;81;attaquant;non;13/13
;;;;;
pele;BRE;95;attaquant;oui;1/13
ronaldo;BRE;94;attaquant;oui;2/13
marcelo;BRE;87;defenseur;oui;3/13
neymar;BRE;89;attaquant;non;4/13
vinicius;BRE;88;attaquant;non;5/13
thiago silva;BRE;87;defenseur;non;6/13
marquinhos;BRE;86;defenseur;non;7/13
casemiro;BRE;85;milieu;non;8/13
alisson;BRE;85;gardien;non;9/13
raphina;BRE;84;attaquant;non;10/13
guimaraes;BRE;83;milieu;non;11/13
endrick;BRE;80;attaquant;non;12/13
andrey santos;BRE;80;milieu;non;13/13
;;;;;
maradona;ARG;95;attaquant;oui;1/8
messi;ARG;92;attaquant;non;2/8
di maria;ARG;86;attaquant;non;3/8
martinez;ARG;85;attaquant;non;4/8
mac allister;ARG;84;milieu;non;5/8
romero;ARG;83;defenseur;non;6/8
nico paz;ARG;82;milieu;non;7/8
senesi;ARG;81;defenseur;non;8/8
;;;;;
iniesta;ESP;90;milieu;oui;1/12
xavi;ESP;90;milieu;oui;2/12
ramos;ESP;91;defenseur;non;3/12
yamal;ESP;86;attaquant;non;4/12
rodri;ESP;86;milieu;non;5/12
pedri;ESP;85;milieu;non;6/12
de gea;ESP;84;gardien;non;7/12
isco;ESP;82;milieu;non;8/12
morata;ESP;82;attaquant;non;9/12
zubimendi;ESP;82;milieu;non;10/12
cubarsi;ESP;81;defenseur;non;11/12
huijsen;ESP;80;defenseur;non;12/12
;;;;;
matthaus;ALL;90;milieu;oui;1/8
neuer;ALL;89;gardien;non;2/8
kimmich;ALL;88;defenseur;non;3/8
wirtz;ALL;86;milieu;non;4/8
musiala;ALL;86;milieu;non;5/8
muller;ALL;85;attaquant;non;6/8
gundogan;ALL;84;milieu;non;7/8
rudiger;ALL;84;defenseur;non;8/8
;;;;;
beckham;ANG;89;milieu;oui;1/11
kane;ANG;88;attaquant;non;2/11
bellingham;ANG;87;milieu;non;3/11
rice;ANG;85;milieu;non;4/11
saka;ANG;84;attaquant;non;5/11
palmer;ANG;83;milieu;non;6/11
foden;ANG;82;attaquant;non;7/11
trent;ANG;82;defenseur;non;8/11
pickford;ANG;82;gardien;non;9/11
rashford;ANG;81;attaquant;non;10/11
maguire;ANG;80;defenseur;non;11/11
;;;;;
maldini;ITA;92;defenseur;oui;1/8
buffon;ITA;91;gardien;oui;2/8
donnaruma;ITA;87;gardien;non;3/8
verratti;ITA;84;milieu;non;4/8
bastoni;ITA;84;defenseur;non;5/8
barella;ITA;83;milieu;non;6/8
tonali;ITA;83;milieu;non;7/8
jorginho;ITA;82;milieu;non;8/8
;;;;;
chicharito;MEX;80;attaquant;non;1/4
ochoa;MEX;79;gardien;non;2/4
vela;MEX;79;attaquant;non;3/4
raul jimenez;MEX;79;attaquant;non;4/4
;;;;;
courtois;BEL;90;gardien;non;1/5
hazard;BEL;89;attaquant;oui;2/5
de bruyne;BEL;88;milieu;non;3/5
lukaku;BEL;83;attaquant;non;4/5
meunier;BEL;79;defenseur;non;5/5
;;;;;
eusebio;POR;91;attaquant;oui;1/8
c. ronaldo;POR;92;attaquant;non;2/8
silva;POR;86;milieu;non;3/8
fernandes;POR;85;milieu;non;4/8
vitinha;POR;84;milieu;non;5/8
leao;POR;84;attaquant;non;6/8
pepe;POR;84;defenseur;non;7/8
mendes;POR;83;defenseur;non;8/8
;;;;;
son;COR;85;attaquant;non;1/3
kang in lee;COR;79;milieu;non;2/3
kim min jae;COR;79;defenseur;non;3/3
;;;;;
hakimi;MAR;84;defenseur;non;1/5
bounou;MAR;82;gardien;non;2/5
brahim diaz;MAR;82;attaquant;non;3/5
ziyech;MAR;81;attaquant;non;4/5
boufal;MAR;77;attaquant;non;5/5
;;;;;
mahrez;ALG;83;attaquant;non;1/4
ait nouri;ALG;82;defenseur;non;2/4
bennacer;ALG;80;milieu;non;3/4
bensebaini;ALG;79;defenseur;non;4/4
;;;;;
mane;SEN;85;attaquant;non;1/3
koulibaly;SEN;82;defenseur;non;2/3
matar sarr;SEN;79;milieu;non;3/3
;;;;;
lewandowski;POL;88;attaquant;non;1/3
szczesny;POL;82;gardien;non;2/3
zielinski;POL;79;milieu;non;3/3
;;;;;
cruyff;PAY;91;attaquant;oui;1/6
van dijk;PAY;88;defenseur;non;2/6
de jong;PAY;84;milieu;non;3/6
depay;PAY;82;attaquant;non;4/6
frimpong;PAY;82;defenseur;non;5/6
simons;PAY;81;milieu;non;6/6
;;;;;
modric;CRO;88;milieu;non;1/4
perisic;CRO;83;attaquant;non;2/4
gvardiol;CRO;82;defenseur;non;3/4
kovacic;CRO;82;milieu;non;4/4
;;;;;
haaland;NOR;86;attaquant;non;1/3
odegaard;NOR;84;milieu;non;2/3
sorloth;NOR;79;attaquant;non;3/3
;;;;;
forlan;URU;89;attaquant;oui;1/5
suarez;URU;86;attaquant;non;2/5
valverde;URU;85;milieu;non;3/5
cavani;URU;85;attaquant;non;4/5
gimenez;URU;80;defenseur;non;5/5
;;;;;
james;COL;82;milieu;non;1/3
luis diaz;COL;81;attaquant;non;2/3
cuadrado;COL;80;defenseur;non;3/3
;;;;;
mitoma;JAP;79;attaquant;non;1/3
kubo;JAP;79;attaquant;non;2/3
minamino;JAP;79;attaquant;non;3/3
;;;;;
salah;EGY;88;attaquant;non;1/1
;;;;;
ibrahimovic;SUE;89;attaquant;oui;1/3
gyokeres;SUE;81;attaquant;non;2/3
isak;SUE;81;attaquant;non;3/3
;;;;;
pacho;EQU;84;defenseur;non;1/1
;;;;;
kvaratskhelia;GEO;84;attaquant;non;1/1
;;;;;
davies;CAN;83;defenseur;non;1/1
;;;;;
alaba;AUT;82;defenseur;non;1/1
